  
       XFOIL         Version 6.99
  
 Calculated polar for: airfoil1.csv                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
   0.000   0.1796   0.02741   0.01308  -0.0882   0.9997   1.0003
